primary_type,day-of-week,community_area
ASSAULT,Fri,39
ASSAULT,Fri,44
ASSAULT,Fri,61
ASSAULT,Fri,67
ASSAULT,Fri,68
ASSAULT,Fri,1
ASSAULT,Fri,4
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,6
ASSAULT,Fri,7
ASSAULT,Fri,8
ASSAULT,Fri,8
ASSAULT,Fri,10
ASSAULT,Fri,10
ASSAULT,Fri,11
ASSAULT,Fri,16
ASSAULT,Fri,16
ASSAULT,Fri,17
ASSAULT,Fri,17
ASSAULT,Fri,21
ASSAULT,Fri,21
ASSAULT,Fri,22
ASSAULT,Fri,22
ASSAULT,Fri,22
ASSAULT,Fri,22
ASSAULT,Fri,23
ASSAULT,Fri,23
ASSAULT,Fri,23
ASSAULT,Fri,23
ASSAULT,Fri,24
ASSAULT,Fri,25
ASSAULT,Fri,25
ASSAULT,Fri,25
ASSAULT,Fri,26
ASSAULT,Fri,26
ASSAULT,Fri,27
ASSAULT,Fri,27
ASSAULT,Fri,27
ASSAULT,Fri,28
ASSAULT,Fri,28
ASSAULT,Fri,28
ASSAULT,Fri,28
ASSAULT,Fri,29
ASSAULT,Fri,29
ASSAULT,Fri,30
ASSAULT,Fri,30
ASSAULT,Fri,31
ASSAULT,Fri,32
ASSAULT,Fri,32
ASSAULT,Fri,33
ASSAULT,Fri,34
ASSAULT,Fri,34
ASSAULT,Fri,38
ASSAULT,Fri,38
ASSAULT,Fri,38
ASSAULT,Fri,40
ASSAULT,Fri,40
ASSAULT,Fri,41
ASSAULT,Fri,41
ASSAULT,Fri,41
ASSAULT,Fri,41
ASSAULT,Fri,42
ASSAULT,Fri,42
ASSAULT,Fri,42
ASSAULT,Fri,43
ASSAULT,Fri,45
ASSAULT,Fri,46
ASSAULT,Fri,46
ASSAULT,Fri,46
ASSAULT,Fri,46
ASSAULT,Fri,49
ASSAULT,Fri,51
ASSAULT,Fri,53
ASSAULT,Fri,53
ASSAULT,Fri,53
ASSAULT,Fri,56
ASSAULT,Fri,61
ASSAULT,Fri,63
ASSAULT,Fri,63
ASSAULT,Fri,66
ASSAULT,Fri,66
ASSAULT,Fri,67
ASSAULT,Fri,68
ASSAULT,Fri,69
